Product_A,Recommendation_1,Recommendation_2,Recommendation_3,Total_CoPurchase_Count,Total_Incremental_Revenue_Potential
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,LUNCH BAG RED RETROSPOT,1273,113244.82999999975
JUMBO BAG PINK POLKADOT,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,1120,108430.26999999984
REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,ROSES REGENCY TEACUP AND SAUCER ,SET OF 3 REGENCY CAKE TINS,904,100101.42999999989
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER ,PINK REGENCY TEACUP AND SAUCER,1375,95730.52000000014
PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER ,REGENCY TEAPOT ROSES ,876,76109.75000000012
PARTY BUNTING,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,SPOTTY BUNTING,897,75393.39000000004
HEART OF WICKER LARGE,HEART OF WICKER SMALL,WHITE HANGING HEART T-LIGHT HOLDER,LARGE WHITE HEART OF WICKER,889,73117.29999999997
JUMBO BAG APPLES,LUNCH BAG APPLE DESIGN,JUMBO BAG RED RETROSPOT,JUMBO BAG PEARS,959,67196.45999999988
POSTAGE,ROUND SNACK BOXES SET OF4 WOODLAND ,REGENCY CAKESTAND 3 TIER,ROUND SNACK BOXES SET OF 4 FRUITS ,545,66304.95000000008
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG PINK POLKADOT,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,853,64771.799999999945
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE IVORY,1148,64655.79
SET OF 3 CAKE TINS PANTRY DESIGN ,SET OF 6 SPICE TINS PANTRY DESIGN,WHITE HANGING HEART T-LIGHT HOLDER,SET OF TEA COFFEE SUGAR TINS PANTRY,709,62570.94000000009
JUMBO BAG ALPHABET,JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF,835,61532.679999999964
REGENCY SUGAR BOWL GREEN,REGENCY TEA PLATE ROSES ,REGENCY TEAPOT ROSES ,ROSES REGENCY TEACUP AND SAUCER ,491,58141.54999999999
JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,JUMBO BAG PINK POLKADOT,516,57195.619999999995
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,827,57023.58999999998
REGENCY MILK JUG PINK ,REGENCY SUGAR BOWL GREEN,REGENCY TEAPOT ROSES ,ROSES REGENCY TEACUP AND SAUCER ,536,55457.40000000004
ASSORTED COLOUR BIRD ORNAMENT,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,PAINTED METAL PEARS ASSORTED,757,54073.06000000009
JAM MAKING SET WITH JARS,RECIPE BOX PANTRY YELLOW DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN ,SET OF 4 PANTRY JELLY MOULDS,616,51777.510000000046
DOORMAT FANCY FONT HOME SWEET HOME,DOORMAT HEARTS,DOORMAT RED RETROSPOT,DOORMAT NEW ENGLAND,286,49660.84
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG WOODLAND,LUNCH BAG SUKI DESIGN ,1350,49272.51999999999
DOLLY GIRL LUNCH BOX,LUNCH BAG SPACEBOY DESIGN ,SPACEBOY LUNCH BOX ,LUNCH BOX I LOVE LONDON,731,48784.849999999904
JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,REGENCY CAKESTAND 3 TIER,SET OF 3 CAKE TINS PANTRY DESIGN ,681,48615.089999999975
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,SMALL WHITE HEART OF WICKER,641,48563.22000000004
PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT RETROSPOT,PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,737,48272.77000000004
REGENCY TEA PLATE ROSES ,REGENCY TEAPOT ROSES ,ROSES REGENCY TEACUP AND SAUCER ,SET OF 3 REGENCY CAKE TINS,453,47712.79000000004
DOORMAT HEARTS,DOORMAT RED RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,DOORMAT NEW ENGLAND,375,47620.15999999999
COOK WITH WINE METAL SIGN ,GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN ,PLEASE ONE PERSON METAL SIGN,802,46924.08999999999
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE KEEP CALM,794,46891.76999999997
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,1402,46675.00000000001
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,REGENCY CAKESTAND 3 TIER,SET OF 3 CAKE TINS PANTRY DESIGN ,601,44372.96
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG SUKI DESIGN ,1248,43913.27
DOORMAT FAIRY CAKE,DOORMAT HEARTS,DOORMAT RED RETROSPOT,DOORMAT NEW ENGLAND,223,43227.01
REGENCY TEAPOT ROSES ,ROSES REGENCY TEACUP AND SAUCER ,SPOTTY BUNTING,SET OF 3 REGENCY CAKE TINS,360,42885.019999999946
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG PINK POLKADOT,1276,42054.13000000002
HEART OF WICKER SMALL,NATURAL SLATE HEART CHALKBOARD ,WHITE HANGING HEART T-LIGHT HOLDER,SMALL WHITE HEART OF WICKER,633,41392.69
ROUND SNACK BOXES SET OF4 WOODLAND ,SPACEBOY LUNCH BOX ,STRAWBERRY LUNCH BOX WITH CUTLERY,WOODLAND CHARLOTTE BAG,370,40498.269999999975
JUMBO BAG DOILEY PATTERNS,LUNCH BAG DOILEY PATTERN ,JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF,585,38675.36000000001
REGENCY TEA PLATE GREEN ,REGENCY TEA PLATE PINK,REGENCY TEA PLATE ROSES ,ROSES REGENCY TEACUP AND SAUCER ,582,38629.56000000007
EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL RED,RED RETROSPOT UMBRELLA,368,38356.63999999999
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN ,LUNCH BAG SPACEBOY DESIGN ,1059,37958.40000000001
ROUND SNACK BOXES SET OF 4 FRUITS ,ROUND SNACK BOXES SET OF4 WOODLAND ,SPACEBOY LUNCH BOX ,STRAWBERRY LUNCH BOX WITH CUTLERY,473,37917.86999999998
BAKING SET 9 PIECE RETROSPOT ,BAKING SET SPACEBOY DESIGN,RETROSPOT TEA SET CERAMIC 11 PC ,REGENCY CAKESTAND 3 TIER,672,37476.999999999985
JUMBO BAG PEARS,JUMBO BAG VINTAGE LEAF,LUNCH BAG APPLE DESIGN,JUMBO BAG RED RETROSPOT,610,36963.24000000002
DOORMAT NEW ENGLAND,DOORMAT RED RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,DOORMAT SPOTTY HOME SWEET HOME,384,36873.89999999999
JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE CHRISTMAS ,PAPER CHAIN KIT 50'S CHRISTMAS ,591,36784.41
PLASTERS IN TIN WOODLAND ANIMALS,ROUND SNACK BOXES SET OF4 WOODLAND ,POSTAGE,SPACEBOY LUNCH BOX ,370,36777.02999999997
HOMEMADE JAM SCENTED CANDLES,JAM MAKING SET WITH JARS,REGENCY CAKESTAND 3 TIER,SET OF 3 CAKE TINS PANTRY DESIGN ,346,34816.52999999997
